4073,3479/4073/,Software Office & Business Licensing / Software Cad / Cam Licensing,Software Cad / Cam Licensing,3427828,Software & Licensing > Software Office & Business Licensing > Software Cad / Cam Licensing,Not Match,3,3427780,update product_category set plankton_id='3427828' where id=4073;
3480,3479/3480/,Software Office & Business Licensing / Software Customer Management / Crm Licensing,Software Customer Management / Crm Licensing,3427796,Software & Licensing > Software Office & Business Licensing > Software Customer Management / Crm Licensing,Not Match,3,3427780,update product_category set plankton_id='3427796' where id=3480;
4140,3479/4140/,Software Office & Business Licensing / Software Gis / Mapping Licensing,Software Gis / Mapping Licensing,3427844,Software & Licensing > Software Office & Business Licensing > Software Gis / Mapping Licensing,Not Match,3,3427780,update product_category set plankton_id='3427844' where id=4140;
1573,1573/,Software Office & Business Retail,Software Office & Business Retail,3428084,Software & Licensing > Software Office & Business Retail,Not Match,2,3427485,update product_category set plankton_id='3428084' where id=1573;
1977,1573/1977/,Software Office & Business Retail / Client Software File Compression Fpp,Client Software File Compression Fpp,3428132,Software & Licensing > Software Office & Business Retail > Client Software File Compression Fpp,Not Match,3,3428084,update product_category set plankton_id='3428132' where id=1977;
1574,1573/1574/,Software Office & Business Retail / Client Software Office Application Fpp,Client Software Office Application Fpp,3428116,Software & Licensing > Software Office & Business Retail > Client Software Office Application Fpp,Not Match,3,3428084,update product_category set plankton_id='3428116' where id=1574;
2860,1573/2860/,Software Office & Business Retail / Client Software Photo Capture / Editing Fpp,Client Software Photo Capture / Editing Fpp,3428100,Software & Licensing > Software Office & Business Retail > Client Software Photo Capture / Editing Fpp,Not Match,3,3428084,update product_category set plankton_id='3428100' where id=2860;
3445,1573/3445/,Software Office & Business Retail / Client Software Programming Fpp,Client Software Programming Fpp,3428164,Software & Licensing > Software Office & Business Retail > Client Software Programming Fpp,Not Match,3,3428084,update product_category set plankton_id='3428164' where id=3445;
4097,1573/4097/,Software Office & Business Retail / Client Software Synchronization / Transfer Fpp,Client Software Synchronization / Transfer Fpp,3428148,Software & Licensing > Software Office & Business Retail > Client Software Synchronization / Transfer Fpp,Not Match,3,3428084,update product_category set plankton_id='3428148' where id=4097;
1634,1634/,Software Office Productivity Licensing,Software Office Productivity Licensing,3427940,Software & Licensing > Software Office Productivity Licensing,Not Match,2,3427485,update product_category set plankton_id='3427940' where id=1634;
4123,1634/4123/,Software Office Productivity Licensing / Software Office Application Licensing,Software Office Application Licensing,3427956,Software & Licensing > Software Office Productivity Licensing > Software Office Application Licensing,Not Match,3,3427940,update product_category set plankton_id='3427956' where id=4123;
1635,1634/1635/,Software Office Productivity Licensing / Software Video Conferencing,Software Video Conferencing,10542368526,Software & Licensing > Software Office Productivity Licensing > Software Video Conferencing,Not Match,3,3427940,update product_category set plankton_id='10542368526' where id=1635;
998,997/998/,Software & Licensing / Software Operating System Retail,Software Operating System Retail,3428180,Software & Licensing > Software Operating System Retail,Match,2,3427485,update product_category set plankton_id='3428180' where id=998;
3444,997/998/3444/,Software & Licensing / Software Operating System Retail / Client Software Windows Os Fpp,Client Software Windows Os Fpp,3428196,Software & Licensing > Software Operating System Retail > Client Software Windows Os Fpp,Match,3,3428180,update product_category set plankton_id='3428196' where id=3444;
530,530/,Software Os & Virtualization Licensing,Software Os & Virtualization Licensing,3427716,Software & Licensing > Software Os & Virtualization Licensing,Not Match,2,3427485,update product_category set plankton_id='3427716' where id=530;
531,530/531/,Software Os & Virtualization Licensing / Software Linux / Unix Os Licensing (Eol),Software Linux / Unix Os Licensing (Eol),3427748,Software & Licensing > Software Os & Virtualization Licensing > Software Linux / Unix Os Licensing (Eol),Not Match,3,3427716,update product_category set plankton_id='3427748' where id=531;
1591,530/1591/,Software Os & Virtualization Licensing / Software Virtualization Licensing,Software Virtualization Licensing,3427764,Software & Licensing > Software Os & Virtualization Licensing > Software Virtualization Licensing,Not Match,3,3427716,update product_category set plankton_id='3427764' where id=1591;
3742,530/3742/,Software Os & Virtualization Licensing / Software Windows Os Licensing,Software Windows Os Licensing,3427732,Software & Licensing > Software Os & Virtualization Licensing > Software Windows Os Licensing,Not Match,3,3427716,update product_category set plankton_id='3427732' where id=3742;































































