"id","parent_path","name","complete_name","parent_id","create_uid","create_date","write_uid","write_date","removal_strategy_id","category_code","category_level","account_intransit","account_srt_id","property_stock_reval_account_input_categ_id","property_stock_reval_account_output_categ_id","allow_negative_stock"
2120,"923/2120/",Proyektor Konferensi / Auditorium Besar,Projector / Proyektor / Proyektor Konferensi / Auditorium Besar,923,1,2022-12-19 08:19:12.077,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1665,"923/1665/",Proyektor Mini / Pico,Projector / Proyektor / Proyektor Mini / Pico,923,1,2022-12-19 08:19:05.236,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1864,"923/1864/",Proyektor Ruang Meeting / Pertemuan Kecil,Projector / Proyektor / Proyektor Ruang Meeting / Pertemuan Kecil,923,1,2022-12-19 08:19:08.848,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2666,"923/2666/",Proyektor Seminar / Ruang Kelas Sedang,Projector / Proyektor / Proyektor Seminar / Ruang Kelas Sedang,923,1,2022-12-19 08:19:22.512,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1715,"1715/",Protector and Uv Filter,Protector and Uv Filter,,1,2022-12-19 08:19:05.236,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1716,"1715/1716/",Filter Polarizer,Protector and Uv Filter / Filter Polarizer,1715,1,2022-12-19 08:19:05.236,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2260,"1715/2260/",Filter Uv dan Protector,Protector and Uv Filter / Filter Uv dan Protector,1715,1,2022-12-19 08:19:15.190,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1878,"1878/",Pulpen / Bolpen,Pulpen / Bolpen,,1,2022-12-19 08:19:08.848,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4254,"1878/4254/",Pen / Ballpoint,Pulpen / Bolpen / Pen / Ballpoint,1878,1,2022-12-19 08:19:57.634,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3822,"1878/3822/",Pulpen Gambar / Drawing Pen,Pulpen / Bolpen / Pulpen Gambar / Drawing Pen,1878,1,2022-12-19 08:19:49.818,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1879,"1878/1879/",Pulpen Pena / Signing Pen,Pulpen / Bolpen / Pulpen Pena / Signing Pen,1878,1,2022-12-19 08:19:08.848,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
123,"123/",Pulsa Data/Internet,Pulsa Data/Internet,,1,2022-12-19 08:18:23.940,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4067,"123/4067/",Paket Data Bolt,Pulsa Data/Internet / Paket Data Bolt,123,1,2022-12-19 08:19:54.401,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3833,"123/3833/",Paket Data Indosat,Pulsa Data/Internet / Paket Data Indosat,123,1,2022-12-19 08:19:49.818,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2827,"123/2827/",Paket Data Smartfren,Pulsa Data/Internet / Paket Data Smartfren,123,1,2022-12-19 08:19:23.951,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2144,"123/2144/",Paket Data Telkomsel,Pulsa Data/Internet / Paket Data Telkomsel,123,1,2022-12-19 08:19:13.693,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
182,"123/182/",Paket Data Tri,Pulsa Data/Internet / Paket Data Tri,123,1,2022-12-19 08:18:23.940,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
124,"123/124/",Paket Data XL,Pulsa Data/Internet / Paket Data XL,123,1,2022-12-19 08:18:23.940,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
889,"889/",Pulsa SMS & Telepon,Pulsa SMS & Telepon,,1,2022-12-19 08:18:52.771,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3363,"889/3363/",Pulsa SMS & Telepon Indosat,Pulsa SMS & Telepon / Pulsa SMS & Telepon Indosat,889,1,2022-12-19 08:19:34.847,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4255,"889/4255/",Pulsa SMS & Telepon Telkomsel,Pulsa SMS & Telepon / Pulsa SMS & Telepon Telkomsel,889,1,2022-12-19 08:19:57.634,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4220,"889/4220/",Pulsa SMS & Telepon Tri,Pulsa SMS & Telepon / Pulsa SMS & Telepon Tri,889,1,2022-12-19 08:19:57.634,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
890,"889/890/",Pulsa SMS & Telepon XL,Pulsa SMS & Telepon / Pulsa SMS & Telepon XL,889,1,2022-12-19 08:18:52.771,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1077,"1077/",Pumps,Pumps,,1,2022-12-19 08:18:54.520,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1078,"1077/1078/",Accesories Pumps,Pumps / Accesories Pumps,1077,1,2022-12-19 08:18:54.520,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2224,"1077/2224/",Fuel Pumps,Pumps / Fuel Pumps,1077,1,2022-12-19 08:19:13.693,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1333,"1077/1333/",Hydraulic Pumps,Pumps / Hydraulic Pumps,1077,1,2022-12-19 08:19:00.014,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2237,"1077/2237/",Oil Pumps,Pumps / Oil Pumps,1077,1,2022-12-19 08:19:15.190,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2377,"1077/2377/",Submersible Pumps,Pumps / Submersible Pumps,1077,1,2022-12-19 08:19:16.621,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2467,"1077/2467/",Water Pumps,Pumps / Water Pumps,1077,1,2022-12-19 08:19:18.136,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
827,"827/",Puzzle / Permainan Asah Otak,Puzzle / Permainan Asah Otak,,1,2022-12-19 08:18:43.219,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4250,"827/4250/","3d Puzzle",Puzzle / Permainan Asah Otak / 3d Puzzle,827,1,2022-12-19 08:19:57.634,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
829,"827/829/",Block Puzzle,Puzzle / Permainan Asah Otak / Block Puzzle,827,1,2022-12-19 08:18:43.219,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2111,"827/2111/",Book Puzzle,Puzzle / Permainan Asah Otak / Book Puzzle,827,1,2022-12-19 08:19:12.077,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3960,"827/3960/",Jigsaw Puzzle,Puzzle / Permainan Asah Otak / Jigsaw Puzzle,827,1,2022-12-19 08:19:52.894,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1908,"1908/",Rack System,Rack System,,1,2022-12-19 08:19:08.848,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4012,"1908/4012/",Rack System Closed,Rack System / Rack System Closed,1908,1,2022-12-19 08:19:52.894,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1909,"1908/1909/",Rack System Open,Rack System / Rack System Open,1908,1,2022-12-19 08:19:08.848,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2910,"1908/2910/",Rack System Wallmount,Rack System / Rack System Wallmount,1908,1,2022-12-19 08:19:26.181,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
556,"556/",Rack System Option,Rack System Option,,1,2022-12-19 08:18:32.639,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2850,"556/2850/",Rack Option Blank Panel,Rack System Option / Rack Option Blank Panel,556,1,2022-12-19 08:19:26.181,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
4035,"556/4035/",Rack Option Cantilever Shelf,Rack System Option / Rack Option Cantilever Shelf,556,1,2022-12-19 08:19:54.401,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
557,"556/557/",Rack Option Castor,Rack System Option / Rack Option Castor,556,1,2022-12-19 08:18:32.639,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1202,"556/1202/",Rack Option Digital Temperatur,Rack System Option / Rack Option Digital Temperatur,556,1,2022-12-19 08:18:56.933,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
2314,"556/2314/",Rack Option Fan / Cooling,Rack System Option / Rack Option Fan / Cooling,556,1,2022-12-19 08:19:16.621,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
1172,"556/1172/",Rack Option Flat Shelf,Rack System Option / Rack Option Flat Shelf,556,1,2022-12-19 08:18:56.933,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
3962,"556/3962/",Rack Option Power Distribution / Pdu,Rack System Option / Rack Option Power Distribution / Pdu,556,1,2022-12-19 08:19:52.894,170,2023-11-30 14:15:05.016,,,,1350,1594,1346,1603,true
